id,title,target_audience,star_quantity,email,created_at,updated_at
cbf6c3a5-4fc9-4581-91c9-842117b98bea,teste direction,geeks,,,Mon Aug 26 2024 16:48:16 GMT-0300 (Horário Padrão de Brasília),Mon Aug 26 2024 16:48:16 GMT-0300 (Horário Padrão de Brasília)
285866e8-548d-4738-90c9-40c8f3abd58e,Survey Test,atletas,,,Sun Aug 25 2024 23:26:28 GMT-0300 (Horário Padrão de Brasília),Sun Aug 25 2024 23:26:28 GMT-0300 (Horário Padrão de Brasília)
367ad675-a81a-4381-b35a-3835c48aefd7,teste direction,geeks,,,Mon Aug 26 2024 13:30:33 GMT-0300 (Horário Padrão de Brasília),Mon Aug 26 2024 13:30:33 GMT-0300 (Horário Padrão de Brasília)
1ab4e6a1-a373-4207-af6b-3495d85727db,teste direction,geeks,,,Mon Aug 26 2024 14:08:54 GMT-0300 (Horário Padrão de Brasília),Mon Aug 26 2024 14:08:54 GMT-0300 (Horário Padrão de Brasília)
d4d22452-429d-4b3e-bd1e-f76ce2a4e170,Survey Test,atletas,,,Mon Aug 26 2024 16:42:48 GMT-0300 (Horário Padrão de Brasília),Mon Aug 26 2024 16:42:48 GMT-0300 (Horário Padrão de Brasília)
c1d1f66d-b261-46fe-b5bc-145e3a2ef4d4,Survey Test,atletas,,,Mon Aug 26 2024 16:42:48 GMT-0300 (Horário Padrão de Brasília),Mon Aug 26 2024 16:42:48 GMT-0300 (Horário Padrão de Brasília)
cadce8b3-7431-4468-9449-8d6722956abd,Survey Test,atletas,,,Mon Aug 26 2024 16:44:22 GMT-0300 (Horário Padrão de Brasília),Mon Aug 26 2024 16:44:22 GMT-0300 (Horário Padrão de Brasília)
62e2ee3b-61e4-4c21-b4b6-fdf59df6f9b3,Survey Test,atletas,,,Mon Aug 26 2024 16:44:22 GMT-0300 (Horário Padrão de Brasília),Mon Aug 26 2024 16:44:22 GMT-0300 (Horário Padrão de Brasília)
86d70636-bed4-42e8-84ca-96cd0f6d7ebc,teste direction,geeks,,,Mon Aug 26 2024 16:48:15 GMT-0300 (Horário Padrão de Brasília),Mon Aug 26 2024 16:48:15 GMT-0300 (Horário Padrão de Brasília)
33962bae-0d52-45fc-a6e5-5685a0ec42db,teste direction,geeks,,,Mon Aug 26 2024 16:13:45 GMT-0300 (Horário Padrão de Brasília),Mon Aug 26 2024 16:13:45 GMT-0300 (Horário Padrão de Brasília)
08060283-ba39-480f-8cbe-fd898d74c2be,teste direction,geeks,,,Mon Aug 26 2024 16:13:47 GMT-0300 (Horário Padrão de Brasília),Mon Aug 26 2024 16:13:47 GMT-0300 (Horário Padrão de Brasília)
1ceaaabc-453d-46de-a060-93367d7e7ca5,Survey Test,atletas,,,Mon Aug 26 2024 16:42:36 GMT-0300 (Horário Padrão de Brasília),Mon Aug 26 2024 16:42:36 GMT-0300 (Horário Padrão de Brasília)
ad5925fd-efae-45f6-b516-3d45753822d5,Survey Test,atletas,,,Mon Aug 26 2024 16:42:36 GMT-0300 (Horário Padrão de Brasília),Mon Aug 26 2024 16:42:36 GMT-0300 (Horário Padrão de Brasília)
a9d35b07-00b8-494d-8ba8-f9216ec47970,Survey Test,atletas,5,Survey Test Updated,Mon Aug 26 2024 16:44:22 GMT-0300 (Horário Padrão de Brasília),Mon Aug 26 2024 16:44:22 GMT-0300 (Horário Padrão de Brasília)
88a523aa-8b4f-4ad3-85d9-68a771a749c1,Survey Test,atletas,5,Survey Test Updated,Sun Aug 25 2024 23:26:28 GMT-0300 (Horário Padrão de Brasília),Sun Aug 25 2024 23:26:28 GMT-0300 (Horário Padrão de Brasília)
49f058d5-d522-4eec-9e49-b7d1611e9b96,Survey Test,atletas,5,Survey Test Updated,Mon Aug 26 2024 16:42:48 GMT-0300 (Horário Padrão de Brasília),Mon Aug 26 2024 16:42:48 GMT-0300 (Horário Padrão de Brasília)
560f0d2a-06c0-494b-ab14-2cdd596e33a9,Survey Test,atletas,5,Survey Test Updated,Mon Aug 26 2024 16:42:36 GMT-0300 (Horário Padrão de Brasília),Mon Aug 26 2024 16:42:36 GMT-0300 (Horário Padrão de Brasília)
a18aa3fc-1aaa-4506-b5ab-c4258d6733f2,Survey Test,atletas,1,rafa@rafa.com,Sun Aug 25 2024 23:26:28 GMT-0300 (Horário Padrão de Brasília),Mon Aug 26 2024 14:30:53 GMT-0300 (Horário Padrão de Brasília)
